"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 17:32:32,FALSE,NA,"1182348201061425152",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","spylaw01",29,TRUE,FALSE,NA,NA
"RT @GMOFreeUSA: If you ate the Impossible Burger and had an adverse health reaction, take the health survey here: https://t.co/wdx3KB0cqU",FALSE,0,NA,2019-10-10 17:32:26,FALSE,NA,"1182348176885501954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RachelsNews",2,TRUE,FALSE,NA,NA
"RT @GMOFreeUSA: GMO Free USA has received reports of people experiencing adverse health reactions and has launched a public health survey t…",FALSE,0,NA,2019-10-10 17:32:20,FALSE,NA,"1182348148544540673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RachelsNews",4,TRUE,FALSE,NA,NA
"Tried an impossible whopper.  It was... ok.  Texture was a little weird and spongy.  But not too much worse than a regular Burger King.",FALSE,1,NA,2019-10-10 17:31:24,FALSE,NA,"1182347914418573312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pxlplz",0,FALSE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/RlS4XAJsK2",FALSE,0,NA,2019-10-10 17:29:13,FALSE,NA,"1182347366873128960",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dnlkenyon",0,FALSE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash
The growing pushback against Impossible and Bey… https://t.co/h2WatAu0fA",FALSE,0,NA,2019-10-10 17:28:43,TRUE,NA,"1182347238133116928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","eCommerceTR",0,FALSE,FALSE,NA,NA
"Just had an impossible burger for the first time. 😳This marks both my first time trying the plant based burger, and… https://t.co/Sd3RwRlXra",FALSE,6,NA,2019-10-10 17:26:47,TRUE,NA,"1182346750968905728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joedriscoll315",0,FALSE,FALSE,NA,NA
"@Travis_Statham NEED LINK TO SEE REPLIES! (I mean, I'd be pissed if someone fed me an impossible chemical mess burg… https://t.co/vokG7GTil5",FALSE,0,"Travis_Statham",2019-10-10 17:16:34,TRUE,"1182343512412610560","1182344182834372608","30940684","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheyCallMeKate",0,FALSE,FALSE,NA,NA
"#flatstanleylovesimpossiblewhoppers Flat Stanley has his impossible Whopper and got a crown too. @ Burger King https://t.co/Y1x7ozdFkB",FALSE,0,NA,2019-10-10 17:14:47,FALSE,NA,"1182343731338452993",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Krock111",0,FALSE,FALSE,"-74.98638633","44.68340808"
"Motherfucjers be dumb as hell, did you know when you order an impossible burger or anything “non beef” they cook it… https://t.co/pEHc50SC2U",FALSE,0,NA,2019-10-10 17:14:12,TRUE,NA,"1182343587414937600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ohwowryanwtf",0,FALSE,FALSE,NA,NA
"@adri_verster Nope, the leghemoflibin is the GMO heme “blood” in the Impossible Burger. It has nothing to do with Fetal Bovine Serum (FBS).",FALSE,0,"adri_verster",2019-10-10 17:13:03,FALSE,"1182335821216661505","1182343298268053504","824853751106187267","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GHGGuru",0,FALSE,FALSE,NA,NA
"@DoubleDeuce @JaymeMerline Factor those things into the added expense of the Impossible Burger that they're complai… https://t.co/U4Wgtw6KFK",FALSE,0,"DoubleDeuce",2019-10-10 17:12:20,TRUE,"1182341592557993984","1182343118236073985","14253733","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HowlinFantods",0,FALSE,FALSE,NA,NA
"I just took one bite of an impossible burger and can't get that awful taste out of my mouth.  I won't ignore the th… https://t.co/qm23SNXBM5",FALSE,9,NA,2019-10-10 17:11:31,TRUE,NA,"1182342912308330500",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","scottevarilek",0,FALSE,FALSE,NA,NA
"@endofempathy I thought it was an impossible whopper at Burger King",FALSE,0,"endofempathy",2019-10-10 17:10:32,FALSE,"1182156689434271749","1182342663451955201","1075173714562408448","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BriannaMcCollu4",0,FALSE,FALSE,NA,NA
"had the impossible whopper and it WAS a little different, could hardly taste the burger itself under all the stuff… https://t.co/RWElfLlXLm",FALSE,4,NA,2019-10-10 17:08:36,TRUE,NA,"1182342177571164161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pokeysoda",0,FALSE,FALSE,NA,NA
"RT @delusioninabox: Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/JuAwwIa5lo via @voxdotcom",FALSE,0,NA,2019-10-10 17:08:21,FALSE,NA,"1182342115826778112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","owlsparliament",2,TRUE,FALSE,NA,NA
"once seattle gets impossible burgers in grocery stores it's over for you bitches https://t.co/XIRenuYNWB",FALSE,2,NA,2019-10-10 17:07:28,FALSE,NA,"1182341890672214016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zoe_sayler",0,FALSE,FALSE,NA,NA
"@atlasobscura Nope, not fooling me. I wasn't fooled by a impossible burger, won't be fooled by this.",FALSE,0,"atlasobscura",2019-10-10 17:06:08,FALSE,"1182281371466833920","1182341557099216896","57047586","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZanguusT",0,FALSE,FALSE,NA,NA
"The Impossible Burger is legit. And that's coming from a serious burger lover 🍔❤️ @BurgerKing #bklounge",FALSE,1,NA,2019-10-10 17:04:59,FALSE,NA,"1182341265419128832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fullmetalparent",0,FALSE,FALSE,NA,NA
"RT @delusioninabox: Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/JuAwwIa5lo via @voxdotcom",FALSE,0,NA,2019-10-10 17:01:01,FALSE,NA,"1182340270358179840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","squidbunny",2,TRUE,FALSE,NA,NA
"RT @jimmy_wales: I just had an Impossible Whopper from Burger King.

I don't see any real reason that I will ever eat beef burgers again on…",FALSE,0,NA,2019-10-10 17:00:51,FALSE,NA,"1182340226959773696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dave_Champ",5,TRUE,FALSE,NA,NA
"Been craving the impossible burger",FALSE,0,NA,2019-10-10 17:00:32,FALSE,NA,"1182340148824027138",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeffreyarriaza_",0,FALSE,FALSE,NA,NA
"Thanks @invoker The Impossible Burger Will Be Officially Available at Grocery Stores Starting Tomorrow… https://t.co/9xEsSg0RhX",FALSE,1,NA,2019-10-10 17:00:21,TRUE,NA,"1182340099612299265",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","macqueendan",0,FALSE,FALSE,NA,NA
"Chris Farley, but he is tricked into eating an Impossible Burger. 
https://t.co/wd72KzxwgX",FALSE,0,NA,2019-10-10 16:59:01,FALSE,NA,"1182339766546763776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DropTheH4MM3R",0,FALSE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/JuAwwIa5lo via @voxdotcom",FALSE,2,NA,2019-10-10 16:56:10,FALSE,NA,"1182339047815032832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","delusioninabox",2,FALSE,FALSE,NA,NA
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 16:54:04,FALSE,NA,"1182338520003878912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anameescapesme",29,TRUE,FALSE,NA,NA
"Beyond Meat Burger &gt;&gt;&gt;&gt; Impossible Burger .....*UNLESS it’s the Impossible Whopper",FALSE,0,NA,2019-10-10 16:52:42,FALSE,NA,"1182338175483727876",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unCHELLtered",0,FALSE,FALSE,NA,NA
"RT @GHGGuru: The backlash against Impossible and Beyond Meat burgers going mainstream |  Vox https://t.co/tl0OdhL0J6",FALSE,0,NA,2019-10-10 16:50:29,FALSE,NA,"1182337617242869762",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HoosierHayFarm",14,TRUE,FALSE,NA,NA
"I gave my dog (1) slice of tomato and now she won’t stop barking at me for my entire impossible burger",FALSE,1,NA,2019-10-10 16:46:45,FALSE,NA,"1182336676326252544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Assbuttt_",0,FALSE,FALSE,NA,NA
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 16:45:33,FALSE,NA,"1182336377930813441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoannaBlythman",29,TRUE,FALSE,NA,NA
"Viewpoint: Ideological rift brews in anti-GMO movement as Americans embrace Impossible Burger https://t.co/lwyTtonZlS",FALSE,0,NA,2019-10-10 16:40:56,FALSE,NA,"1182335215336747009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeighHSelby",0,FALSE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/0zIglxr4WE",FALSE,0,NA,2019-10-10 16:40:36,FALSE,NA,"1182335131274612737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sallyjohnsonrd",0,FALSE,FALSE,NA,NA
"RT @GHGGuru: The backlash against Impossible and Beyond Meat burgers going mainstream |  Vox https://t.co/tl0OdhL0J6",FALSE,0,NA,2019-10-10 16:39:22,FALSE,NA,"1182334820858449922",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MadPharmacist1",14,TRUE,FALSE,NA,NA
"I really want an impossible burger so bad moe 😕😕😕",FALSE,0,NA,2019-10-10 16:35:52,FALSE,NA,"1182333940553699329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_boujeeeb",0,FALSE,FALSE,NA,NA
"The Impossible Burger from @BurgerKing is an abomination.

#KeepTheBurgerABurger",FALSE,0,NA,2019-10-10 16:29:59,FALSE,NA,"1182332458580226048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kokis86",0,FALSE,FALSE,NA,NA
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 16:28:34,FALSE,NA,"1182332101649154049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","simondankel",29,TRUE,FALSE,NA,NA
"RT @KariAZ: Plant-based 'meat' is conquering fast food. Here's where you can get meat substitutes like the Beyond Burger and the Impossible…",FALSE,0,NA,2019-10-10 16:26:47,FALSE,NA,"1182331653638635522",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tesschallis",3,TRUE,FALSE,NA,NA
"yo I need a fuckin impossible burger and I need it now",FALSE,0,NA,2019-10-10 16:23:16,FALSE,NA,"1182330769219424257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","friendlypoetry",0,FALSE,FALSE,NA,NA
"@ericawerner How about an “Impossible Burger?”",FALSE,0,"ericawerner",2019-10-10 16:16:23,FALSE,"1182328407276830722","1182329036531552257","33653195","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rjlaya",0,FALSE,FALSE,NA,NA
"I think im gonna try Kuma's impossible burger today.",FALSE,1,NA,2019-10-10 16:14:51,FALSE,NA,"1182328650265452546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brokedownmama",0,FALSE,FALSE,NA,NA
"RT @caa1000: One reason why you shouldn't have to play pranks on your best friend who's vegan and don't eat meat, unless...  Impossible bur…",FALSE,0,NA,2019-10-10 16:12:42,FALSE,NA,"1182328108675940352",NA,"<a href=""https://script.google.com/macros/s/AKfycbwWSRgdQ7ji6TH1njlimjZiM81M7MdHA34BliELlrANouhfIBXz/exec"" rel=""nofollow"">Follow vegan</a>","act40720604",1,TRUE,FALSE,NA,NA
"One reason why you shouldn't have to play pranks on your best friend who's vegan and don't eat meat, unless...  Imp… https://t.co/qKyhEeuboT",FALSE,0,NA,2019-10-10 16:11:57,TRUE,NA,"1182327920053891074",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caa1000",1,FALSE,FALSE,NA,NA
"RT @fleroy1974: ""[classifying food based on its degree of processing] makes no sense from a nutritional perspective” - Yes it does.

""Yogur…",FALSE,0,NA,2019-10-10 16:11:37,FALSE,NA,"1182327834792075265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mitewheats",29,TRUE,FALSE,NA,NA
"A Guide To Vegan Options At Fast Food Chains #foodunite #foodsutr Follow us on https://t.co/qpbd22W20c

From KFC's… https://t.co/h7nXcHA1PK",FALSE,0,NA,2019-10-10 16:10:40,TRUE,NA,"1182327599361642497",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FoodSutr",0,FALSE,FALSE,NA,NA
"A Guide To Vegan Options At Fast Food Chains

From KFC's Beyond Chicken to Burger King's Impossible Whopper, here's… https://t.co/c0gsS84V6o",FALSE,0,NA,2019-10-10 16:09:04,TRUE,NA,"1182327196586823680",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FabRui5",0,FALSE,FALSE,NA,NA
"BuzzFeed - Food

From KFC's Beyond Chicken to Burger King's Impossible Whopper, here's a handy guide for what you c… https://t.co/uLxUVcwg9I",FALSE,0,NA,2019-10-10 16:08:26,TRUE,NA,"1182327034405642241",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AlfonArau",0,FALSE,FALSE,NA,NA
"A Guide To Vegan Options At Fast Food Chains

From KFC's Beyond Chicken to Burger King's Impossible Whopper, here's… https://t.co/mipo9eb616",FALSE,0,NA,2019-10-10 16:08:17,TRUE,NA,"1182326997097369603",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MorenoRen3",0,FALSE,FALSE,NA,NA
"A Guide To Vegan Options At Fast Food Chains

From KFC's Beyond Chicken to Burger King's Impossible Whopper, here's… https://t.co/Jjh4YwE7KT",FALSE,0,NA,2019-10-10 16:07:13,TRUE,NA,"1182326730478034944",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MauriSerr4",0,FALSE,FALSE,NA,NA
"RT @KariAZ: Plant-based 'meat' is conquering fast food. Here's where you can get meat substitutes like the Beyond Burger and the Impossible…",FALSE,0,NA,2019-10-10 16:04:13,FALSE,NA,"1182325975121616896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JenniferDraz",3,TRUE,FALSE,NA,NA
"@MArribalzaga Our goal is to bring the Impossible Burger to every corner of the globe, but for now, we don’t have a… https://t.co/0MFnqhUV6a",FALSE,0,"MArribalzaga",2019-10-10 16:02:00,TRUE,"1182314534192779266","1182325417107165185","1362545624","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","ImpossibleFoods",0,FALSE,FALSE,NA,NA
"With its move, Clarke’s Off Campus created new dishes for its menu. Additions include the Impossible Burger for veg… https://t.co/ekcKPqSG4D",FALSE,0,NA,2019-10-10 16:01:00,TRUE,NA,"1182325164085784577",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","thedailynu",0,FALSE,FALSE,NA,NA
"The impossible burger tasted better when I was drunk :/",FALSE,0,NA,2019-10-10 15:58:25,FALSE,NA,"1182324513268215809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xjoselaflame",0,FALSE,FALSE,NA,NA
"@CNN Impossible Bacon and Vegan Cheese on a burger, count me in.",FALSE,1,"CNN",2019-10-10 15:55:10,FALSE,"1182289812679806976","1182323698847477760","759251","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","K7Row",0,FALSE,FALSE,NA,NA
"@Gilly_SJ I eat shrimp, fish, plant-based burgers. The impossible burger is really good. And most restaurants now serve alternative options",FALSE,2,"Gilly_SJ",2019-10-10 15:54:45,FALSE,"1182315356167258112","1182323590995337217","119971164","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iAMshockley",0,FALSE,FALSE,NA,NA
"RT @GMOFreeUSA: If you ate the Impossible Burger and had an adverse health reaction, take the health survey here: https://t.co/wdx3KB0cqU",FALSE,0,NA,2019-10-10 15:54:19,FALSE,NA,"1182323480877879298",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roguerunner",2,TRUE,FALSE,NA,NA
"Oh God, here we go. Time for another round of conservatives bitching about other people having options.  https://t.co/Mfe0jAMVtf",FALSE,0,NA,2019-10-10 15:53:28,FALSE,NA,"1182323267715026945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GothicNeo",0,FALSE,FALSE,NA,NA
"Meatless meat is becoming mainstream — and it’s sparking a backlash https://t.co/2NUQfGvqIg via @voxdotcom",FALSE,0,NA,2019-10-10 15:46:36,FALSE,NA,"1182321541272494081",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","h8rboi",0,FALSE,FALSE,NA,NA
"@l0serrrrr same! the taste of beef is so disgusting to me, the first time i got an impossible burger i sent it back… https://t.co/sJjEO4IXJK",FALSE,1,"l0serrrrr",2019-10-10 15:46:36,TRUE,"1182281585464348672","1182321538978082816","628024486","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baewiththepower",0,FALSE,FALSE,NA,NA
"RT @KariAZ: Plant-based 'meat' is conquering fast food. Here's where you can get meat substitutes like the Beyond Burger and the Impossible…",FALSE,0,NA,2019-10-10 15:46:00,FALSE,NA,"1182321389002514434",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","genebaur",3,TRUE,FALSE,NA,NA
"Beyond Famous Star VS Impossible Whopper! | Carls Jr. VS Burger King! Wh... https://t.co/6iFaVxVudm via @YouTube @SmokedUpGoddess",FALSE,3,NA,2019-10-10 15:34:57,FALSE,NA,"1182318607746785281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mrs_Maurizio",1,FALSE,FALSE,NA,NA
"This is sad news https://t.co/12F4TsdTDe",FALSE,0,NA,2019-10-10 15:34:30,FALSE,NA,"1182318496434266112",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","loribethmeunier",0,FALSE,FALSE,NA,NA
"RT @_JAC16: @Reinforce : What does an Impossible Burger consist of? 
@BrenCasts : Witchcraft #TheFourHeads",FALSE,0,NA,2019-10-10 15:34:19,FALSE,NA,"1182318450796044288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Drinks41334362",3,TRUE,FALSE,NA,NA
"@OfWudan you kiss him back and ask where you can get impossible burger",FALSE,3,"OfWudan",2019-10-10 15:34:06,FALSE,"1182317928269701120","1182318396245004288","1096324563305201665","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Fence_Jumpers_",0,FALSE,FALSE,NA,NA
"\KEEP THOSE LIGHTS ON HER OWN with Chief Log Officer , any other people focused on a hike than standard advice who… https://t.co/fHPzgxbswc",FALSE,0,NA,2019-10-10 15:30:01,TRUE,NA,"1182317369529524227",NA,"<a href=""https://github.com/parkr/ebooks"" rel=""nofollow"">PhoneBoy eBooks</a>","PhoneBoySaidSo",0,FALSE,FALSE,NA,NA
"Want a burger

Impossible vs Beyond Meat?
$BYND",FALSE,0,NA,2019-10-10 15:26:25,FALSE,NA,"1182316462452727808",NA,"<a href=""https://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","VantageAlertsUS",0,FALSE,FALSE,NA,NA
"I had the impossible burger from BK yesterday. Shit fareal tasted like a real burger but didn't feel all bloated and full after.",FALSE,1,NA,2019-10-10 15:24:39,FALSE,NA,"1182316016484749313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheLofiLord",0,FALSE,FALSE,NA,NA
"@GodlessCranium @McDonalds @thcreakyblinder @atheist_vegan @TGRBran @AtheistTatted @booleanenator @FightFlat… https://t.co/WqdoxaJeD3",FALSE,4,"GodlessCranium",2019-10-10 15:23:58,TRUE,"1182302636395118593","1182315844728164352","1707471558","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheGeekRoomTGR",0,FALSE,FALSE,NA,NA
"Homemade veg impossible burger with veg homemade “special” sauce. Pls give it a try and reduce your meat consumptio… https://t.co/eFApXX7tPA",FALSE,0,"candicericasa",2019-10-10 15:15:44,TRUE,"1153736364963311622","1182313773983567872","162904928","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","candicericasa",0,FALSE,FALSE,NA,NA
"6 Reasons Impossible Burger's CEO Is Wrong About GMO Soy:
1. Dubious Health Claims
2. Higher Use of Pesticides
3. N… https://t.co/mXurdS6YW2",FALSE,0,NA,2019-10-10 15:09:27,TRUE,NA,"1182312190285475842",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tionia",0,FALSE,FALSE,NA,NA
"Impossible burger—quite possibly harmful - https://t.co/pU0cO6V9CJ https://t.co/6JsTQDA4bW",FALSE,0,NA,2019-10-10 15:06:41,FALSE,NA,"1182311496480677889",NA,"<a href=""http://www.mailchimp.com"" rel=""nofollow"">Mailchimp</a>","Holistic_Blends",0,FALSE,FALSE,NA,NA
"Thursday’s Specials!
Cherry Bomb!
Cherry bombed glazed vegan Impossible Burger -or- angus beef patty, topped with b… https://t.co/eSlOiOfTbm",FALSE,0,NA,2019-10-10 15:05:04,TRUE,NA,"1182311089322778625",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","theremedydiner",0,FALSE,FALSE,NA,NA
"@SpideyHobo ""Real clever, did you learn that joke while playing dominos with the nurses?""

Peach didn't have time f… https://t.co/wT68nziR7N",FALSE,1,"SpideyHobo",2019-10-10 14:56:11,TRUE,"1182307373983158272","1182308853834231811","1173644592312401920","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheSpiderPeach",0,FALSE,FALSE,NA,NA
"Plant-based 'meat' is conquering fast food. Here's where you can get meat substitutes like the Beyond Burger and th… https://t.co/B6KCLg6Pek",FALSE,5,NA,2019-10-10 14:55:16,TRUE,NA,"1182308621624856576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KariAZ",3,FALSE,FALSE,NA,NA
